ID;TERMS (PT-NPT);RELATIONS;PT;MT
4838;Banca Europeană de Investiții;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
5460;Banca Europeană de Reconstrucție și Dezvoltare;USE;BERD;7611 organizaţii europene
4872;Banca Interamericană de Dezvoltare;;;7616 organizaţii extraeuropene
8377;Banca Internațională pentru Reconstrucție și Dezvoltare;;;7606 ONU
4812;Banca Mondială;;;7606 ONU
5644;Banca de Dezvoltare a Consiliului Europei;USE;fonduri ale Consiliului Europei;7611 organizaţii europene
6338;Banca de Dezvoltare din Caraibe;USE;Caribank;7616 organizaţii extraeuropene
5044;Banca pentru Reglementări Internaționale;;;7621 organizaţii mondiale
4732;Bangladesh;;;7226 Asia şi Oceania
4732;Bangladesh;;;7231 geografie economică
4816;Barbados;;;7216 America
4816;Barbados;;;7231 geografie economică
4816;Barbados;;;7236 geografie politică
4823;Basilicata;;;7211 regiuni ale statelor membre ale Uniunii Europene
1611;Basutoland;USE;Lesotho;7221 Africa
1611;Basutoland;USE;Lesotho;7231 geografie economică
4835;Bavaria;;;7211 regiuni ale statelor membre ale Uniunii Europene
4835;Bavaria (statul liber);USE;Bavaria;7211 regiuni ale statelor membre ale Uniunii Europene
3073;Bazinul Mediteranean;USE;regiunea mediteraneană (UE);1616 regiuni şi politică regională
5457;Bazinul Rinului;USE;Valea Rinului;1616 regiuni şi politică regională
5458;Belarus;;;7206 Europa
5458;Belarus;;;7236 geografie politică
4839;Belgia;;;7206 Europa
4839;Belgia;;;7231 geografie economică
4839;Belgia;;;7236 geografie politică
4841;Belize;;;7216 America
4841;Belize;;;7231 geografie economică
4841;Belize;;;7236 geografie politică
4844;Benelux;;;7611 organizaţii europene
4846;Benin;;;7221 Africa
4846;Benin;;;7231 geografie economică
4847;Berlin;;;7211 regiuni ale statelor membre ale Uniunii Europene
4847;Berlin (landul);USE;Berlin;7211 regiuni ale statelor membre ale Uniunii Europene
4848;Bermude;;;7216 America
4848;Bermude;;;7241 ţări şi teritorii străine
4862;Bhutan;;;7226 Asia şi Oceania
4862;Bhutan;;;7231 geografie economică
7397;Biblia;USE;texte religioase;2831 cultură şi religie
8511;Bihor;;;7211 regiuni ale statelor membre ale Uniunii Europene
4699;Bildschirmtext;USE;videografie interactivă;3226 comunicaţii
4966;Birmania;USE;Birmania/Myanmar;7226 Asia şi Oceania
4966;Birmania;USE;Birmania/Myanmar;7231 geografie economică
4966;Birmania/Myanmar;;;7226 Asia şi Oceania
4966;Birmania/Myanmar;;;7231 geografie economică
6128;Biroul Comunitar pentru Mărci Comerciale;USE;Oficiul Uniunii Europene pentru Proprietate Intelectuală;1006 Instituțiile Uniunii Europene și funcția publică europeană
4859;Biroul European al Uniunii Consumatorilor;USE;BEUC;7611 organizaţii europene
447958;Biroul European de Sprijin pentru Azil;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
4875;Biroul Internațional al Educației;;;7606 ONU
3708;Biroul Internațional al Muncii;;;7606 ONU
5249;Biroul Internațional pentru Controlul Narcoticelor;;;7606 ONU
923;Biroul Parlamentului European pentru evaluare științifică și opțiuni tehnologice;USE;evaluare tehnologică;6411 tehnologie şi reglementări tehnice
4174;Biroul Permanent al Parlamentului European;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
6711;Biroul de Informare a Consumatorului;USE;Rețeaua Centrelor Europene pentru Consumatori;2026 consum
8385;Biroul Înaltului Comisar pentru Drepturile Omului;USE;Înaltul Comisar al ONU pentru Drepturile Omului;7606 ONU
8512;Bistrița Năsăud;;;7211 regiuni ale statelor membre ale Uniunii Europene
c_623f2583;Bivalvia;USE;moluscă bivalvă;5641 pescuit
7998;Blekinge;;;7211 regiuni ale statelor membre ale Uniunii Europene
2291;Blocul estic;USE;state din Blocul Estic;7236 geografie politică
7853;Boemia Centrală;;;7211 regiuni ale statelor membre ale Uniunii Europene
7840;Boemia de Sud;;;7211 regiuni ale statelor membre ale Uniunii Europene
5020;Bolivia;;;7216 America
5020;Bolivia;;;7231 geografie economică
5020;Bolivia;;;7236 geografie politică
451912;Bonaire, Sint Eustatius și Saba;;;7216 America
